objectid,agency,comments,active,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,mergeid,latest,modifiedon,createdon,SHAPE_Length,SHAPE_Area
11,FS,Pulled from EGP REST Service,N,Mixed Methods,2019/06/29 10:05:27,2019-NMLNF-000184,2019,LONE MOUNTAIN,NMLNF,2019/06/29 09:23:03,1351.85043548, ,L9N7, ,NMLNF,NM,6380,000184,{C7DC9B46-ACA3-49AE-AF91-3A84326FAFAA},N, , ,N,2019/07/01 12:33:11,2019/07/01 12:33:11,0.365820541287516,0.000532660109172763
12,BLM,"Pulled from EGP REST Service; Perimeter updated using Landsat 7 image collected 7/30",N,Remote Sensing Derived,2019/08/01 05:06:45,2019-AKGAD-000260,2019,Stink Creek,AKAKS,2019/07/31 15:37:53,15.2966505, ,MA7F, ,AKGAD,AK, ,000260,{16E81A7E-5462-43AD-94ED-6C81373A0ED2},N, , ,Y,2019/09/09 14:28:09,2019/08/01 12:39:35,0.0158012137771982,1.13566722958624e-05
13,USFS,WFDSS,N,Hand Sketch,2019/03/05 00:00:00,2019-AZCNF-000042,2019,COMPASS,AZCNF,2019/03/04 09:00:00,20.8374623, ,L64U, ,AZCNF,AZ, ,000042,{84D2F0F9-FA7C-4C57-A2DF-ACD73D20CD4C},N, , ,Y,2019/03/05 10:03:42,2019/03/05 10:03:42,0.0128346284110082,8.0736279495238e-06
14,USFS,WFDSS,N,GPS-Walked/ Driven,2019/03/06 00:00:00,2019-AZCNF-000005,2019,OPHIR GULCH,AZCNF,2019/01/26 17:00:00,25.11468797, ,L6UA, ,AZCNF,AZ, ,000005,{5F678D76-8152-4405-96E3-88AB91AFA5DF},N, , ,Y,2019/03/06 10:19:01,2019/03/06 10:19:01,0.0140796220850734,9.67435937495186e-06
15,BLM,WFDSS,N,Hand Sketch,2019/02/20 00:00:00,2019-AZCRD-000050,2019,Bermuda,AZYAL,2019/02/19 08:00:00,1436.85754159, ,L61H, ,AZCRD,AZ, ,000050,{B5FDC5A0-1F1A-45DB-AE7E-9FE35195894D},N, , ,N,2019/03/07 08:51:27,2019/02/27 08:02:47,0.206485906007879,0.000560087468255414
16,BLM,WFDSS,N,Hand Sketch,2019/02/28 00:00:00,2019-AZCRD-000050,2019,Bermuda,AZYAL,2019/02/20 08:00:00,1199.61352272, ,L61H, ,AZCRD,AZ, ,000050,{B5FDC5A0-1F1A-45DB-AE7E-9FE35195894D},N, , ,Y,2019/03/07 08:51:27,2019/03/07 08:51:27,0.159073040977759,0.000467596622147642
17,USFS,WFDSS,N,Hand Sketch,2019/03/21 00:00:00,2019-KYDBF-190041,2019,Lockegee,KYDBF,2019/03/20 16:30:00,125.73807646, ,L7AF, ,KYDBF,KY, ,190041,{18BDEA61-1B31-4A27-BE9B-E0D18546BC78},N, , ,Y,2019/04/09 10:42:41,2019/04/09 10:42:41,0.0376255293410391,5.22645856386845e-05
18,USFS,WFDSS,N,GPS-Flight,2019/03/12 00:00:00,2019-AZCNF-000046,2019,BENTON,AZCNF,2019/03/07 12:00:00,554.81202819, ,L65D, ,AZCNF,AZ, ,000046,{C90B0CF2-544F-4430-9016-3564B18FA9FA},N, , ,Y,2019/03/12 10:46:02,2019/03/12 10:46:02,0.0685460264660429,0.000212796394632237
19,DVF,Pulled from EGP REST Service,N,Mixed Methods,2019/07/15 05:06:05,2019-AKMSS-901451,2019,Malaspina,AKPRI,2019/07/14 11:13:51,84.54132693, ,MD44, ,AKMSS,AK, ,901451,{5DBE0D98-CFE7-4AE3-A102-78EFF31A6D29},N, , ,Y,2019/07/17 13:02:48,2019/07/15 12:34:07,0.0630559047286953,5.88718037471682e-05
20,SF,WFDSS,N,GPS-Walked/ Driven,2019/03/11 00:00:00,2019-NMN6S-000021,2019,Iron Works,NMNMS,2019/03/08 15:59:59,9.77981044, ,L653, ,NMN6S,NM, ,000021,{2F8743B9-AAA1-4024-ACED-5236B42AEB3E},N, , ,N,2019/03/12 10:46:02,2019/03/11 10:45:53,0.00910083607404978,3.89266141261227e-06
21,USFS,WFDSS,N,GPS-Flight,2019/03/07 00:00:00,2019-AZCNF-000046,2019,BENTON,AZCNF,2019/03/06 18:00:00,380.85873199, ,L65D, ,AZCNF,AZ, ,000046,{C90B0CF2-544F-4430-9016-3564B18FA9FA},N, , ,N,2019/03/12 10:46:29,2019/03/07 09:40:51,0.0674569562886748,0.000146077814070967
22,DVF,Pulled from EGP REST Service,N,Mixed Methods,2019/07/13 05:05:44,2019-AKMSS-901451,2019,Malaspina,AKPRI,2019/07/12 23:59:42,84.54128193, ,MD44, ,AKMSS,AK, ,901451,{5DBE0D98-CFE7-4AE3-A102-78EFF31A6D29},N, , ,N,2019/07/15 12:34:07,2019/07/15 12:34:07,0.0630559078213282,5.88717866598035e-05
23,USFS,WFDSS,N,Hand Sketch,2019/07/15 00:00:00,2019-ORFWF-000196,2019,Silver Creek,ORFWF,2019/07/15 00:00:00,88.6404317, ,ME8D, ,ORFWF,OR, ,000196,{CCF83988-3FF3-4451-804C-AC5BBC022CD7},N, , ,Y,2019/07/15 13:53:13,2019/07/15 13:53:13,0.0381343778533911,3.95451412632531e-05
24,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/08 00:00:00,2019-AROUF-000458,2019,Potato Hill,AROUF,2019/04/06 00:00:00,83.10716777, ,L7RJ, ,AROUF,AR, ,000458,{7829A590-7B97-43C8-B10A-86031BCEAEDC},N, , ,N,2019/04/09 09:30:47,2019/04/08 14:19:07,0.0397941060749052,3.32288153692453e-05
25,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/09 00:00:00,2019-AROUF-000458,2019,Potato Hill,AROUF,2019/04/06 00:59:59,185.18203844, ,L7RJ, ,AROUF,AR, ,000458,{7829A590-7B97-43C8-B10A-86031BCEAEDC},N, , ,Y,2019/04/09 09:30:47,2019/04/09 09:30:47,0.0718746761510567,7.40429689806771e-05
26,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/02 00:00:00,2019-ALALF-000068,2019,BK Pinhook Gap,ALALF,2019/04/01 15:40:00,326.97499676, ,L7FC, ,ALALF,AL, ,000068,{4ECA0F21-3BA6-4C33-8E13-B39BFF6BA3BF},N, , ,Y,2019/04/09 10:42:41,2019/04/09 10:42:41,0.0578386513501078,0.00012969847130952
27,USFS,WFDSS,N,Hand Sketch,2019/03/27 00:00:00,2019-MOMTF-000086,2019,Swan Creek,MOMTF,2019/03/24 00:00:00,1977.16207844, ,L7E5, ,MOMTF,MO, ,000086,{3C4C23AD-B455-4F32-83EA-671EF6499846},N, , ,Y,2019/04/09 10:42:41,2019/04/09 10:42:41,0.126924293214514,0.000808545545061159
28,BLM,WFDSS,N,Hand Sketch,2019/07/12 00:00:00,2019-AKTAD-000389,2019,Foraker,AKDEP,2019/07/10 13:47:00,27639.1361308, ,MB77, ,AKTAD,AK, ,000389,{339B9456-68FE-4218-8D72-3CD54C701148},N, , ,N,2019/07/15 13:53:13,2019/07/15 13:53:13,2.16672306825243,0.0201306575573113
29,USFS,WFDSS,N,GPS-Walked/ Driven,2019/06/11 00:00:00,2019-AZCNF-000248,2019,WINDMILL,AZCNF,2019/06/10 07:53:00,94.16931792, ,L974, ,AZCNF,AZ, ,000248,{607D149F-3753-4C5E-A728-18993BDBA2E0},N, , ,Y,2019/06/11 10:07:39,2019/06/11 10:07:39,0.0287111308251389,3.62329547367776e-05
30,FS,Pulled from EGP REST Service,N,Mixed Methods,2019/06/30 05:05:41,2019-NMLNF-000184,2019,LONE MOUNTAIN,NMLNF,2019/06/29 18:46:58,1936.90534066, ,L9N7, ,NMLNF,NM,6380,000184,{C7DC9B46-ACA3-49AE-AF91-3A84326FAFAA},N, , ,N,2019/07/01 12:33:11,2019/07/01 12:33:11,0.38041233706158,0.000763229972662586
31,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/10 00:00:00,2019-KYDBF-190062,2019,Bowens,KYDBF,2019/04/10 00:00:00,246.1079522, ,L7K5, ,KYDBF,KY, ,190062,{1A080D3A-815A-4396-87E1-C168FAD467BA},N, , ,Y,2019/04/25 14:48:02,2019/04/25 14:48:02,0.0622473749145406,0.000100918676226186
32,DVF,WFDSS,N,Other,2019/04/25 00:00:00,2019-AKSWS-904022,2019,Picnic Beach,AKTGR,2019/04/16 18:00:00,144.26122973, ,L7VG, ,AKSWS,AK, ,904022,{679DCC95-AE3F-429F-9245-092DE9C480AE},N, , ,Y,2019/04/25 14:48:02,2019/04/25 14:48:02,0.100204294210768,9.07470918997516e-05
33,USFS,WFDSS,N,GPS-Walked/ Driven,2019/05/01 00:00:00,2019-KYDBF-190088,2019,Sizemore,KYDBF,2019/05/01 14:15:00,149.47748938, ,L75Q, ,KYDBF,KY, ,190088,{8E3A8381-CE10-41C5-A1FC-08F0F319F10C},N, , ,Y,2019/05/01 10:21:06,2019/05/01 10:21:06,0.0392733423127788,6.13659716764452e-05
34,USFS,WFDSS,N,Other,2019/04/25 00:00:00,2019-AZCNF-000125,2019,ROCK,AZCNF,2019/04/20 11:00:00,6.64145484, ,L77V, ,AZCNF,AZ, ,000125,{F11083B0-2A59-44C6-BC1D-92EAC69E7956},N, , ,N,2019/05/01 10:21:06,2019/04/25 14:48:02,0.00673313537846453,2.56216721836043e-06
35,USFS,WFDSS,N,GPS-Walked/ Driven,2019/05/01 00:00:00,2019-AZCNF-000125,2019,ROCK,AZCNF,2019/04/23 12:00:00,11.28397461, ,L77V, ,AZCNF,AZ, ,000125,{F11083B0-2A59-44C6-BC1D-92EAC69E7956},N, , ,Y,2019/05/01 10:21:06,2019/05/01 10:21:06,0.0120257427713846,4.35317821948605e-06
36,USFS, ,N,Infrared Image,2019/09/10 00:00:00,2019-CASHF-001208,2019,CUTTHROAT,CASHF,2019/09/06 22:31:00,14.9844646, , , ,CASHF,CA, ,001208,{AE5250B2-131D-4449-AFD7-D4559613E900},N, , ,N,2019/09/10 12:03:31,2019/09/10 12:03:31,0.0116967820378942,6.46624212144126e-06
37,USFS, ,N,Infrared Image,2019/07/01 00:00:00,2019-NMLNF-000249,2019,PINE LODGE,NMLNF,2019/06/30 22:33:00,14053.659198, ,MBA5, ,NMLNF,NM,6397,000249,{1F1E8B82-4864-4884-9737-FE108D1ADCEC},N, , ,N,2019/07/01 12:33:11,2019/07/01 12:33:11,0.836982607383822,0.00552698810377676
38,USFS,"WFDSS; Topology fixed",N,GPS-Walked/ Driven,2019/05/01 00:00:00,2019-AZCNF-000124,2019,MONTANA,AZCNF,2019/04/20 08:50:00,23.97905834, ,L767, ,AZCNF,AZ, ,000124,{C3B355C2-250F-4DDB-A57B-AD998D00502D},N, , ,Y,2019/05/01 10:21:06,2019/05/01 10:21:06,0.0237580719629543,9.20750613403846e-06
39,USFS,WFDSS,N,GPS-Walked/ Driven,2019/05/01 00:00:00,2019-AZCNF-000133,2019,BARTOLO,AZCNF,2019/04/26 09:40:00,53.54230154, ,L8G5, ,AZCNF,AZ, ,000133,{DF62442C-83CE-4DDA-BC49-4A36AD7BCCC5},N, , ,Y,2019/05/01 10:21:07,2019/05/01 10:21:07,0.0338931859252843,2.05762206417462e-05
40,BLM,Pulled from EGP REST Service,N,GPS-Flight,2019/05/10 10:42:01,2019-AKMID-000077,2019,Oregon Lakes,AKFWQ,2019/05/08 11:00:00,5632.74468522, ,L8P7, ,AKMID,AK,6308,000077,{44C8E90C-98D1-490F-A7DE-D74F0C3D3AD0},N, , ,N,2019/06/26 08:30:46,2019/05/10 12:56:59,0.423894969589006,0.00416786491129937
41,USFS, ,N,Infrared Image,2019/09/10 00:00:00,2019-CASHF-001208,2019,CUTTHROAT,CASHF,2019/09/07 19:50:59,17.78256169, , , ,CASHF,CA, ,001208,{AE5250B2-131D-4449-AFD7-D4559613E900},N, , ,N,2019/09/10 12:03:31,2019/09/10 12:03:31,0.0139162188812171,7.67371648216457e-06
42,USFS,WFDSS,N,Hand Sketch,2019/05/01 00:00:00,2019-ALALF-000114,2019,SC Section 21,ALALF,2019/04/30 00:00:00,282.20805812, ,L8LN, ,ALALF,AL, ,000114,{BE73B47F-C428-4E2C-B514-F6DEC3A4DDC5},N, , ,Y,2019/05/06 10:57:12,2019/05/01 10:21:07,0.0420759712141097,0.000111309853678345
43,USFS,WFDSS,N,GPS-Walked/ Driven,2019/05/06 00:00:00,2019-AZASF-000112,2019,Hoyle,AZASF,2019/05/03 00:00:00,526.42356668, , , ,AZASF,AZ,6306,000112,{32783081-7D5B-4001-8166-B58CB27FE3EC},N, , ,Y,2019/05/15 11:18:04,2019/05/06 10:53:26,0.0863512421078431,0.000208785239532143
44,NPS,WFDSS,N,GPS-Flight,2019/05/02 00:00:00,2019-FLEVP-019030,2019,OSCEOLA,FLEVP,2019/05/01 06:59:59,545.35892016, ,L8PP, ,FLEVP,FL, ,019030,{398B906A-4782-40F9-8B67-B1F24A597B4A},N, , ,Y,2019/05/06 10:57:08,2019/05/06 10:53:27,0.0884767544329018,0.000198573041205462
45,NPS,WFDSS,N,GPS-Flight,2019/05/07 00:00:00,2019-FLBCP-019028,2019,COWHORN,FLBCP,2019/05/05 12:00:00,263.34977411, ,L8UA, ,FLBCP,FL, ,019028,{429591B6-1B7B-491C-A9D3-00CA312D5284},N, , ,Y,2019/05/07 13:39:12,2019/05/07 13:39:12,0.0910041911212193,9.62592470418581e-05
46,USFS, ,N,Infrared Image,2019/09/10 00:00:00,2019-CAMNF-000485,2019,HENTHORNE,CANOD,2019/09/08 23:54:00,237.9544388, ,MRR2, ,CAMNF,CA,6573,000485,{DAC76C2F-3329-499E-AF99-2A9095241639},N, , ,Y,2019/09/10 12:03:32,2019/09/10 12:03:32,0.0614243802733825,0.00010157356786391
47,BLM,WFDSS,N,GPS-Flight,2019/05/09 00:00:00,2019-AZPHD-000337,2019,Mill,AZPHD,2019/05/06 18:00:00,155.21860793, ,L8W9, ,AZPHD,AZ,6309,000337,{8E38F1F3-3BC6-44CE-8EA3-6C77852212A1},N, , ,Y,2019/05/10 13:07:17,2019/05/10 13:07:17,0.0326032246247806,6.13870836442808e-05
48,DOF,WFDSS,N,Infrared Image,2019/05/07 00:00:00,2019-OR711S-051919,2019,Medco B,OR711S,2019/05/06 12:00:00,682.97610069, , , ,OR711S,OR, ,051919,{46C99539-14CB-4C4E-AB97-2F6C6C5854EA},N, , ,N,2019/06/14 07:56:44,2019/05/07 13:39:12,0.092040678792574,0.000303550933088383
49,USFS,Event Standard Perims,N,Mixed Methods,2019/09/10 00:00:00,2019-CASHF-001208,2019,CUTTHROAT,CASHF,2019/09/09 01:20:00,17.78256225, , , ,CASHF,CA, ,001208,{AE5250B2-131D-4449-AFD7-D4559613E900},N, , ,N,2019/09/11 10:51:42,2019/09/10 12:03:32,0.0139162198949709,7.67371842134201e-06
50,DVF,Pulled from EGP REST Service,N,Image Interpretation,2019/07/24 00:00:00,2019-AKSWS-904544,2019,Aghaluk Creek,AKVLN,2019/07/24 08:32:59,1332.66205402, ,ME5K, ,AKSWS,AK, ,904544,{68086CE6-B729-4E0F-85B5-29290A700D2C},N, , ,N,2019/08/01 12:40:02,2019/07/24 11:48:47,0.241355042973161,0.000910409273596478
51,CDF, ,N,Infrared Image,2019/11/04 00:00:00,2019-CALNU-019376,2019,KINCADE,CALNU,2019/11/02 21:59:59,78193.8056211, ,MWH2, ,CALNU,CA,6653,019376,{FE8285DB-86DE-4F8C-B54E-3FE4A9F2182A},N, , ,N,2019/11/04 11:05:16,2019/11/04 11:05:16,1.77735285581997,0.0327580268715369
52,CDF,Event Standard Perims,N,Mixed Methods,2019/11/04 00:00:00,2019-CALNU-019376,2019,KINCADE,CALNU,2019/11/01 23:50:00,77791.2386867, ,MWH2, ,CALNU,CA,6653,019376,{FE8285DB-86DE-4F8C-B54E-3FE4A9F2182A},N, , ,N,2019/11/04 11:05:16,2019/11/04 11:05:16,1.92748219952429,0.0325894704115237
53,USFS,WFDSS,N,Hand Sketch,2019/05/21 00:00:00,2019-AZCOF-000198,2019,Maroon,AZCOF,2019/05/20 00:00:00,29.68542438, ,L9DE, ,AZCOF,AZ,6352,000198,{3D952AEA-2E89-4489-920D-BC36566CC2B0},N, , ,N,2019/06/26 08:30:46,2019/05/22 07:28:20,0.0175141603625004,1.19063809940053e-05
54,BLM,WFDSS,N,Hand Sketch,2019/06/19 00:00:00,2019-AKGAD-000218,2019,North River,AKADD,2019/06/17 14:00:00,33709.775713, ,L987, ,AKGAD,AK, ,000218,{DE7F7137-3514-4B13-8665-405EE4E748CC},N, , ,N,2019/06/20 12:58:37,2019/06/19 11:23:05,1.4302571189356,0.0261584424068813
55,BIA,WFDSS,N,GPS-Walked/ Driven,2019/05/10 00:00:00,2019-AZSCA-000314,2019,Smokey,AZSCA,2019/05/08 15:00:00,31.99442924, ,L82A, ,AZSCA,AZ, ,000314,{5AE18637-D038-4CA5-BA08-E7E9D713CB9E},N, , ,N,2019/05/15 11:14:31,2019/05/10 12:56:59,0.0161216752593222,1.25777143991891e-05
56,USFS,WFDSS,N,GPS-Walked/ Driven,2019/05/16 00:00:00,2019-ALALF-000106,2019,BK 258,ALALF,2019/05/16 00:00:00,37.42737327, ,L8A5, ,ALALF,AL, ,000106,{0EC6DCB4-554B-4201-8AF2-519CAEEEC665},N, , ,Y,2019/05/17 08:11:03,2019/05/17 08:11:03,0.0284631762263529,1.48285645993258e-05
57,SF,WFDSS,N,GPS-Walked/ Driven,2019/05/16 00:00:00,2019-NMN6S-000053,2019,Water Canyon,NMNMS,2019/05/15 15:00:00,11.50574429, ,L8W7, ,NMN6S,NM, ,000053,{2B9FB956-BED9-44C2-A92E-F8FAA1BB2C5A},N, , ,Y,2019/05/17 08:11:03,2019/05/17 08:11:03,0.0113953250925069,4.60777020905253e-06
58,DNRC, ,N,Infrared Image,2019/08/05 00:00:00,2019-MTCES-000097,2019,North Hills,MTBUD,2019/08/05 01:41:59,5008.80719833, ,MHW7, ,MTCES,MT,6464,000097,{8C208700-F26F-4AD8-8A89-C6D94DA8159F},N, , ,Y,2019/08/06 11:19:38,2019/08/05 12:26:30,0.545373712786935,0.00238716645016128
59,BLM,WFDSS,N,Hand Sketch,2019/07/31 00:00:00,2019-ORBUD-009065,2019,Home Creek,ORBUD,2019/07/30 19:30:00,87.63750452, ,MJS3, ,ORBUD,OR, ,009065,{B4DB7BF1-97A0-4B0A-9006-5B76B4063163},N, , ,N,2019/08/01 13:05:38,2019/07/31 14:23:20,0.0384222828020886,3.88771948712347e-05
60,CDF,Event Standard Perims,N,Mixed Methods,2019/11/04 00:00:00,2019-CALNU-019376,2019,KINCADE,CALNU,2019/11/03 20:03:00,77762.1250356, ,MWH2, ,CALNU,CA,6653,019376,{FE8285DB-86DE-4F8C-B54E-3FE4A9F2182A},N, , ,N,2019/11/05 12:46:04,2019/11/04 11:05:16,1.92448212879535,0.0325772568480837
61,BLM,WFDSS,N,GPS-Walked/ Driven,2019/05/09 00:00:00,2019-AZASD-000086,2019,Slide,USTPAP,2019/05/08 09:59:59,74.49250967, ,L8RQ, ,AZASD,AZ,6323,000086,{1E202E9B-0580-49E2-B4F8-D659A23A2A9C},N, , ,Y,2019/05/10 13:07:17,2019/05/10 13:07:17,0.0335311832668135,3.0257966535006e-05
62,DL,Event Standard Perims,N,Mixed Methods,2019/05/09 00:00:00,2019-IDPDS-000076,2019,Prospect,IDIDS,2019/05/08 21:23:00,385.98972081, ,L8YB, ,IDPDS,ID, ,000076,{8571D2F8-35AC-421A-B5FE-C69BF64B6212},N, , ,N,2019/05/10 13:07:17,2019/05/10 13:07:17,0.0958714056784473,0.00018488686639924
63,DOF, ,N,Mixed Methods,2019/08/06 00:00:00,2019-OR732S-000069,2019,MP 97,OR730S,2019/08/06 03:37:59,13097.4153856, ,MHK1, ,OR732S,OR, ,000069,{705FAC28-7619-414D-9784-7E0BCEB2F8B3},N, , ,Y,2019/09/12 13:03:11,2019/08/06 11:15:20,0.470662225812976,0.00583838771516261
64,BIA,WFDSS,N,GPS-Walked/ Driven,2019/05/20 00:00:00,2019-AZSCA-000377,2019,Tonto,AZSCA,2019/05/18 20:00:00,54.38641709, ,L9C6, ,AZSCA,AZ, ,000377,{A5EF0F23-566C-4C90-94FC-C81FAD281C66},N, , ,Y,2019/05/20 12:43:16,2019/05/20 12:43:16,0.0387324107865085,2.13216598614818e-05
65,BIA,WFDSS,N,GPS-Walked/ Driven,2019/05/20 00:00:00,2019-AZSCA-000352,2019,Jurassic,AZSCA,2019/05/15 12:59:59,24.58724071, ,L89S, ,AZSCA,AZ, ,000352,{BA5CDA0C-776D-4720-AC25-5AF5BB6C8E26},N, , ,Y,2019/05/20 12:43:16,2019/05/20 12:43:16,0.0183640729359759,9.63997910018327e-06
66,USFS, ,N,Infrared Image,2019/08/07 00:00:00,2019-IDNCF-000266,2019,Barren Hill,IDNCF,2019/08/07 00:33:00,580.80340952, ,MHT4, ,IDNCF,ID,6468,000266,{659B5E49-52DE-4A6B-9EC6-CD2F0D095DC8},N, , ,N,2019/09/06 10:41:10,2019/08/07 12:40:00,0.282612809028153,0.000274133494313791
67,DVF,"Pulled from EGP REST Service; Hand drawn perimeter approved by FMO",N,Hand Sketch,2019/07/08 05:05:36,2019-AKMSS-901429,2019,Montana Creek,AKPRI,2019/07/07 12:48:12,551.55309335, ,MC8B, ,AKMSS,AK, ,901429,{F32ADB67-249A-4BAC-86BC-3A9F9B559A2A},N, , ,N,2019/09/10 09:33:43,2019/07/08 10:52:30,0.0923249360641682,0.000383761066424649
68,NPS,Pulled from EGP REST Service,N,Mixed Methods,2019/05/14 10:05:19,2019-FLBCP-019031,2019,THICK ROOT,FLBCP,2019/05/06 23:32:00,530.50705389, ,L8XC, ,FLBCP,FL, ,019031,{E95B2BEF-1E38-4BA0-920D-3AD9D7084A28},N, , ,N,2019/07/01 13:23:06,2019/05/15 11:14:31,0.074120585685172,0.000193839459359772
69,USFS,WFDSS,N,GPS-Flight,2019/06/11 00:00:00,2019-AZTNF-000579,2019,Woodbury,AZTNF,2019/06/10 18:00:00,4506.32082389, ,L951, ,AZTNF,AZ,6382,000579,{852CA751-B8AB-4D83-9B1D-8D4C4924472B},N, , ,N,2019/06/12 10:43:11,2019/06/11 10:07:39,0.263063794668558,0.00176784683985414
70,BIA,WFDSS,N,Hand Sketch,2019/06/11 00:00:00,2019-AZSCA-000587,2019,Bylas,AZSCA,2019/06/09 12:00:00,261.47318321, ,L962, ,AZSCA,AZ, ,000587,{5428E3AC-6BDB-4923-9994-1FCFE4104331},N, , ,N,2019/06/12 10:42:50,2019/06/11 10:07:39,0.051902234118118,0.000102263136104308
71,USFS,WFDSS,N,GPS-Flight,2019/06/11 00:00:00,2019-CAINF-000903,2019,JORDAN,CAINF,2019/06/10 15:59:59,278.44309321, ,L973, ,CAINF,CA,6384,000903,{92B298F6-8D26-4A12-A53B-B2BAF83A5821},N, , ,N,2019/06/12 10:43:05,2019/06/11 10:07:39,0.0469934633010395,0.000112946632060132
72,BLM,Pulled from EGP REST Service,N,Mixed Methods,2019/07/10 05:05:12,2019-UTSLD-000237,2019,West Mountan Shot,USTSLD,2019/07/09 12:55:13,75.38358443, ,MC9F, ,UTSLD,UT, ,000237,{7738D2D2-2313-46B7-85C4-B028720F5600},N, , ,Y,2019/07/10 11:24:50,2019/07/10 11:24:50,0.0278415432147283,3.22391725654272e-05
